eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
12574391,EHB,1960,9,18,9,40,39.899999999999999,,129.251,-6.9640000000000004,,,,155.0,,6.0800000000000001,,
12449502,EHB,1960,9,19,3,39,38.899999999999999,,119.71899999999999,15.678000000000001,,,,35.0,,6.1500000000000004,,
12574414,EHB,1960,10,2,18,8,12.0,,94.932000000000002,18.492999999999999,,,,57.399999999999999,,5.8200000000000003,,
12574420,EHB,1960,10,7,15,18,34.100000000000001,,130.76400000000001,-7.702,,,,47.299999999999997,,6.8099999999999996,,
12574423,EHB,1960,10,8,20,40,8.5,,93.090000000000003,8.0190000000000001,,,,55.0,,6.1500000000000004,,
12574508,EHB,1960,12,14,23,51,34.299999999999997,,126.19,2.988,,,,100.0,,6.7000000000000002,,
12574510,EHB,1960,12,17,10,37,15.9,,109.26900000000001,-6.6360000000000001,,,,265.80000000000001,,5.8200000000000003,,
12574512,EHB,1960,12,18,18,20,48.600000000000001,,125.866,8.6310000000000002,,,,35.0,,5.8200000000000003,,
12574535,EHB,1961,1,5,15,54,5.5,,143.17400000000001,-4.1950000000000003,,,,144.30000000000001,,6.9199999999999999,,
12574587,EHB,1961,2,4,19,9,19.199999999999999,,122.566,24.041,,,,35.0,,6.1500000000000004,,
12574660,EHB,1961,3,28,9,36,6.5,,123.631,0.037999999999999999,,,,145.0,,6.9199999999999999,,
12574712,EHB,1961,5,7,4,32,13.6,,111.126,-8.6549999999999994,,,,60.0,,5.8200000000000003,,
12574739,EHB,1961,5,31,19,15,58.600000000000001,,151.78299999999999,-5.343,,,,50.0,,5.8200000000000003,,
12574765,EHB,1961,6,12,9,58,19.199999999999999,,106.03100000000001,21.527000000000001,,,,35.0,,5.8200000000000003,,
12574767,EHB,1961,6,14,0,41,16.800000000000001,,94.668999999999997,24.408999999999999,,,,78.299999999999997,,5.8200000000000003,,
12574777,EHB,1961,6,18,3,12,37.5,,112.97499999999999,-6.0300000000000002,,,,603.39999999999998,,5.8200000000000003,,
12576192,EHB,1961,6,21,20,25,0.69999999999999996,,109.831,-7.7930000000000001,,,,120.0,,5.8200000000000003,,
12574796,EHB,1961,6,24,9,35,54.5,,97.382999999999996,3.7810000000000001,,,,20.0,,6.1500000000000004,,
12574800,EHB,1961,6,25,16,46,37.399999999999999,,143.785,21.687999999999999,,,,15.0,,6.1500000000000004,,
12574812,EHB,1961,7,4,6,10,39.600000000000001,,146.684,18.079000000000001,,,,55.0,,6.4800000000000004,,
12574815,EHB,1961,7,7,13,10,48.799999999999997,,149.75999999999999,-6.0700000000000003,,,,46.5,,6.7000000000000002,,
12574822,EHB,1961,7,11,9,31,49.899999999999999,,93.102999999999994,7.9969999999999999,,,,55.0,,6.2800000000000002,,
12574870,EHB,1961,8,3,6,51,49.899999999999999,,131.066,-3.6720000000000002,,,,35.0,,5.8200000000000003,,
12574871,EHB,1961,8,3,23,33,42.0,,143.99199999999999,12.179,,,,35.0,,5.8200000000000003,,
12574876,EHB,1961,8,7,4,22,22.0,,122.048,-2.722,,,,15.0,,5.9500000000000002,,
12574885,EHB,1961,8,11,22,37,26.399999999999999,,122.083,-2.831,,,,35.0,,5.8200000000000003,,
12574958,EHB,1961,9,28,1,24,1.3999999999999999,,102.325,-3.9849999999999999,,,,65.0,,6.3499999999999996,,
12574970,EHB,1961,10,8,23,41,36.399999999999999,,127.09399999999999,1.411,,,,120.0,,5.8200000000000003,,
12574972,EHB,1961,10,10,17,25,24.199999999999999,,138.64400000000001,-4.4660000000000002,,,,260.0,,6.1500000000000004,,
12574990,EHB,1961,10,26,15,27,6.9000000000000004,,98.625,-0.46500000000000002,,,,28.899999999999999,,6.4199999999999999,,
12575015,EHB,1961,11,18,22,9,55.399999999999999,,121.75700000000001,23.870999999999999,,,,55.0,,5.8200000000000003,,
12575016,EHB,1961,11,19,23,21,59.5,,124.191,0.60899999999999999,,,,180.0,,6.8099999999999996,,
12575028,EHB,1961,12,3,8,40,30.899999999999999,,123.004,24.937000000000001,,,,138.80000000000001,,5.8200000000000003,,
12575058,EHB,1961,12,26,4,24,57.600000000000001,,110.682,-5.6799999999999997,,,,535.79999999999995,,5.8200000000000003,,
12576206,EHB,1962,1,17,15,43,16.600000000000001,,126.596,3.4580000000000002,,,,35.0,,6.0800000000000001,,
12575106,EHB,1962,1,30,15,22,46.899999999999999,,144.83699999999999,20.510000000000002,,,,130.0,,5.8200000000000003,,
12575138,EHB,1962,3,7,11,1,3.5,,145.20500000000001,19.018999999999998,,,,650.0,,6.9000000000000004,,
12575159,EHB,1962,3,22,15,13,5.7999999999999998,,142.601,-3.226,,,,15.0,,6.7000000000000002,,
12575162,EHB,1962,3,24,12,59,33.100000000000001,,145.15000000000001,-5.8259999999999996,,,,90.0,,6.8099999999999996,,
12575169,EHB,1962,3,29,20,9,2.2999999999999998,,127.44,-0.495,,,,15.0,,6.0800000000000001,,
12575179,EHB,1962,4,7,6,21,37.700000000000003,,144.614,9.9019999999999992,,,,26.600000000000001,,6.1500000000000004,,
12575213,EHB,1962,4,30,9,44,10.800000000000001,,147.315,17.062000000000001,,,,15.0,,5.8200000000000003,,
12575216,EHB,1962,4,30,20,39,48.0,,124.053,6.423,,,,25.0,,5.8200000000000003,,
12575235,EHB,1962,5,15,5,23,48.200000000000003,,128.15199999999999,-7.4850000000000003,,,,31.399999999999999,,6.9199999999999999,,
12575244,EHB,1962,5,22,22,3,28.899999999999999,,151.78,-5.4459999999999997,,,,15.0,,6.7000000000000002,,
12575252,EHB,1962,5,31,6,28,24.199999999999999,,142.886,21.873000000000001,,,,230.0,,6.5999999999999996,,
12575278,EHB,1962,6,23,9,58,27.399999999999999,,121.34099999999999,19.061,,,,35.0,,6.1500000000000004,,
12575282,EHB,1962,6,25,11,10,28.199999999999999,,122.42,24.135999999999999,,,,35.0,,6.4199999999999999,,
12575326,EHB,1962,7,30,17,16,52.899999999999999,,143.941,-3.2930000000000001,,,,65.0,,6.8099999999999996,,
12575331,EHB,1962,8,1,4,37,0.80000000000000004,,143.74700000000001,-3.351,,,,35.0,,6.9199999999999999,,
12575459,EHB,1962,11,1,15,33,22.899999999999999,,132.71899999999999,1.8720000000000001,,,,35.0,,6.1500000000000004,,
12575467,EHB,1962,11,7,16,3,8.6999999999999993,,119.724,-8.0210000000000008,,,,183.30000000000001,,5.8200000000000003,,
12575481,EHB,1962,11,16,21,10,3.6000000000000001,,93.081999999999994,13.31,,,,30.0,,6.7000000000000002,,
12575551,EHB,1963,1,3,9,39,45.600000000000001,,151.61799999999999,-5.3010000000000002,,,,54.5,,5.8200000000000003,,
12575553,EHB,1963,1,4,12,16,35.700000000000003,,154.09899999999999,-4.7270000000000003,,,,35.0,,6.1500000000000004,,
12575554,EHB,1963,1,5,13,16,45.5,,123.783,-10.161,,,,35.0,,5.8200000000000003,,
12576224,EHB,1963,1,16,21,8,32.200000000000003,,111.495,-11.134,,,,20.0,,5.8200000000000003,,
12575596,EHB,1963,2,13,8,50,4.7000000000000002,,122.08499999999999,24.454999999999998,,,,35.0,,7.2999999999999998,,
12575598,EHB,1963,2,14,7,4,41.799999999999997,,128.101,-7.4039999999999999,,,,180.0,,6.5999999999999996,,
12575601,EHB,1963,2,14,22,7,54.399999999999999,,144.625,-4.9000000000000004,,,,65.099999999999994,,6.4800000000000004,,
12575602,EHB,1963,2,16,10,46,26.5,,117.325,-7.0640000000000001,,,,610.0,,5.8200000000000003,,
12575614,EHB,1963,2,25,17,11,0.69999999999999996,,123.185,24.236000000000001,,,,15.0,,6.0800000000000001,,
12575615,EHB,1963,2,25,23,45,15.800000000000001,,121.413,15.525,,,,10.0,,4.1399999999999997,,
12575616,EHB,1963,2,26,20,14,11.199999999999999,,146.21600000000001,-7.6120000000000001,,,,180.40000000000001,,7.3600000000000003,,
12575617,EHB,1963,2,27,4,30,2.1000000000000001,,149.233,-6.0570000000000004,,,,35.0,,6.2800000000000002,,
12575618,EHB,1963,2,27,20,28,30.0,,153.19800000000001,-4.6349999999999998,,,,35.0,,5.3899999999999997,,
12575623,EHB,1963,3,4,13,38,42.299999999999997,,121.88200000000001,24.529,,,,20.0,,6.2800000000000002,,
12575633,EHB,1963,3,10,2,53,31.800000000000001,,122.146,24.675000000000001,,,,10.0,,6.2800000000000002,,
12575639,EHB,1963,3,14,8,0,15.199999999999999,,120.184,18.966999999999999,,,,35.0,,5.8799999999999999,,
12575640,EHB,1963,3,15,0,3,55.799999999999997,,129.39699999999999,-4.9550000000000001,,,,220.0,,5.8200000000000003,,
12575641,EHB,1963,3,15,0,16,0.59999999999999998,,126.438,8.2070000000000007,,,,100.0,,6.0800000000000001,,
12575647,EHB,1963,3,20,16,38,57.200000000000003,,138.45599999999999,-2.5129999999999999,,,,35.0,,5.6600000000000001,,
12575649,EHB,1963,3,24,2,7,15.9,,120.471,-9.702,,,,40.0,,6.2800000000000002,,
12575650,EHB,1963,3,24,9,43,21.800000000000001,,125.59699999999999,8.9380000000000006,,,,55.0,,5.5199999999999996,,
12575654,EHB,1963,3,25,22,46,15.6,,96.530000000000001,0.65800000000000003,,,,18.5,,6.4199999999999999,,
12575666,EHB,1963,3,31,7,7,35.600000000000001,,148.964,-6.1379999999999999,,,,35.0,,6.2800000000000002,,
12575668,EHB,1963,3,31,17,28,52.0,,96.501999999999995,0.66100000000000003,,,,19.399999999999999,,6.1500000000000004,,
12575681,EHB,1963,4,7,22,36,4.0,,103.13500000000001,-4.9539999999999997,,,,59.899999999999999,,6.5899999999999999,,
12575684,EHB,1963,4,10,7,50,30.800000000000001,,124.887,-9.2040000000000006,,,,30.0,,6.0800000000000001,,
12575688,EHB,1963,4,13,14,31,24.899999999999999,,135.59200000000001,-3.4220000000000002,,,,47.100000000000001,,6.1500000000000004,,
12575689,EHB,1963,4,16,1,29,23.199999999999999,,127.93000000000001,-1.1359999999999999,,,,35.0,,7.2000000000000002,,
12575690,EHB,1963,4,16,1,37,1.1000000000000001,,128.554,-1.1299999999999999,,,,35.0,,5.1100000000000003,,
12575691,EHB,1963,4,16,1,55,14.0,,127.962,-1.0269999999999999,,,,35.0,,6.4800000000000004,,
12575692,EHB,1963,4,16,12,3,44.5,,127.432,-1.1100000000000001,,,,35.0,,6.1500000000000004,,
12575698,EHB,1963,4,21,4,38,21.800000000000001,,122.367,24.169,,,,25.0,,6.1500000000000004,,
12575700,EHB,1963,4,21,10,38,28.399999999999999,,146.98599999999999,-3.161,,,,10.0,,6.1500000000000004,,
12575708,EHB,1963,4,25,8,12,58.200000000000003,,122.60599999999999,4.5510000000000002,,,,606.39999999999998,,5.8200000000000003,,
12575709,EHB,1963,4,25,16,35,59.200000000000003,,128.84299999999999,-1.411,,,,35.0,,5.5199999999999996,,
12575712,EHB,1963,4,26,23,45,3.2999999999999998,,122.53700000000001,24.015999999999998,,,,35.0,,5.8200000000000003,,
12575713,EHB,1963,4,27,8,43,0.40000000000000002,,128.32300000000001,-0.91400000000000003,,,,29.5,,6.2800000000000002,,
12575718,EHB,1963,4,30,0,58,23.800000000000001,,128.63900000000001,-1.1200000000000001,,,,55.0,,6.4800000000000004,,
12575727,EHB,1963,5,6,8,38,33.0,,112.334,-9.25,,,,70.0,,6.1500000000000004,,
12575730,EHB,1963,5,8,15,23,58.899999999999999,,125.61,5.3129999999999997,,,,45.0,,5.8200000000000003,,
12575735,EHB,1963,5,11,17,49,44.100000000000001,,122.339,24.123000000000001,,,,35.0,,6.0800000000000001,,
12575741,EHB,1963,5,15,2,52,41.700000000000003,,146.875,-3.3919999999999999,,,,35.0,,6.0800000000000001,,
12575743,EHB,1963,5,16,15,52,18.600000000000001,,128.63300000000001,-0.85999999999999999,,,,35.0,,4.2800000000000002,,
12575744,EHB,1963,5,16,16,18,1.8999999999999999,,128.69499999999999,-0.97699999999999998,,,,35.0,,4.2800000000000002,,
12575745,EHB,1963,5,17,6,9,21.199999999999999,,120.04300000000001,15.69,,,,90.0,,6.2800000000000002,,
12575749,EHB,1963,5,18,12,20,34.0,,115.497,-8.2390000000000008,,,,45.0,,6.0800000000000001,,
12575752,EHB,1963,5,19,19,21,10.6,,128.71199999999999,2.5230000000000001,,,,35.0,,4.1399999999999997,,
12575761,EHB,1963,5,22,21,53,4.7000000000000002,,115.646,-8.2260000000000009,,,,40.0,,6.1500000000000004,,
12575765,EHB,1963,5,23,15,12,7.9000000000000004,,126.047,5.9450000000000003,,,,92.299999999999997,,7.3200000000000003,,
12576234,EHB,1963,6,2,10,0,0.29999999999999999,,154.51300000000001,-6.1029999999999998,,,,35.0,,5.8799999999999999,,
12575786,EHB,1963,6,4,19,21,54.0,,146.16800000000001,18.890999999999998,,,,75.0,,5.9500000000000002,,
12575787,EHB,1963,6,4,21,4,45.0,,127.295,-1.145,,,,35.0,,6.2199999999999998,,
12575788,EHB,1963,6,5,22,54,26.699999999999999,,119.688,-2.9780000000000002,,,,35.0,,6.0199999999999996,,
12575789,EHB,1963,6,6,5,18,55.399999999999999,,120.504,19.870999999999999,,,,24.399999999999999,,6.3499999999999996,,
12575792,EHB,1963,6,7,15,49,59.799999999999997,,121.776,18.911999999999999,,,,35.0,,5.3899999999999997,,
12575801,EHB,1963,6,10,23,58,42.100000000000001,,152.86199999999999,-4.5439999999999996,,,,35.0,,5.3899999999999997,,
12575805,EHB,1963,6,13,17,26,42.100000000000001,,153.221,-4.6829999999999998,,,,45.0,,5.5199999999999996,,
12575810,EHB,1963,6,17,23,2,7.5999999999999996,,102.172,-4.1349999999999998,,,,68.099999999999994,,6.2800000000000002,,
12575812,EHB,1963,6,19,9,9,0.69999999999999996,,126.462,4.5430000000000001,,,,35.0,,6.3499999999999996,,
12575813,EHB,1963,6,19,10,47,26.600000000000001,,92.034000000000006,24.956,,,,50.299999999999997,,6.2800000000000002,,
12575814,EHB,1963,6,19,18,22,10.5,,153.464,-3.6190000000000002,,,,276.69999999999999,,5.8200000000000003,,
12576236,EHB,1963,6,21,15,26,31.399999999999999,,92.122,24.919,,,,54.100000000000001,,6.4199999999999999,,
12575823,EHB,1963,6,25,14,32,10.199999999999999,,106.34699999999999,-8.6890000000000001,,,,28.899999999999999,,5.6600000000000001,,
12575824,EHB,1963,6,26,9,41,36.299999999999997,,126.43000000000001,4.5510000000000002,,,,65.0,,5.1100000000000003,,
12575828,EHB,1963,6,27,15,32,53.799999999999997,,93.632999999999996,13.897,,,,40.0,,5.3899999999999997,,
12575830,EHB,1963,6,28,13,47,47.200000000000003,,97.275999999999996,1.173,,,,30.0,,5.1100000000000003,,
12575834,EHB,1963,6,29,12,43,47.200000000000003,,142.738,11.695,,,,20.0,,5.6799999999999997,,
12575835,EHB,1963,6,30,6,45,40.200000000000003,,102.446,-2.5670000000000002,,,,180.09999999999999,,5.6600000000000001,,
12575848,EHB,1963,7,10,19,52,18.899999999999999,,145.50700000000001,19.163,,,,150.0,,6.4800000000000004,,
12575852,EHB,1963,7,13,14,6,26.800000000000001,,122.506,24.068999999999999,,,,50.0,,5.8200000000000003,,
12575865,EHB,1963,7,22,0,29,14.5,,148.88999999999999,-6.1289999999999996,,,,35.0,,5.8200000000000003,,
12575867,EHB,1963,7,24,11,32,16.699999999999999,,122.09,24.629000000000001,,,,10.0,,6.3499999999999996,,
12575872,EHB,1963,7,28,7,55,24.199999999999999,,111.96899999999999,-11.236000000000001,,,,20.0,,5.8200000000000003,,
12575884,EHB,1963,8,3,3,48,7.2000000000000002,,156.89599999999999,-7.641,,,,400.80000000000001,,5.25,,
12575887,EHB,1963,8,4,7,8,45.700000000000003,,114.312,-9.1500000000000004,,,,80.0,,5.8200000000000003,,
12575895,EHB,1963,8,8,11,16,13.199999999999999,,151.023,-5.7110000000000003,,,,50.0,,6.1500000000000004,,
12575896,EHB,1963,8,8,13,53,44.5,,145.357,18.273,,,,440.60000000000002,,6.0199999999999996,,
12575903,EHB,1963,8,14,3,32,34.899999999999999,,152.30000000000001,-4.9210000000000003,,,,60.0,,5.8200000000000003,,
12575904,EHB,1963,8,14,18,43,57.799999999999997,,135.50299999999999,-3.3620000000000001,,,,35.0,,6.2800000000000002,,
12575914,EHB,1963,8,22,19,52,27.300000000000001,,158.31299999999999,-9.4909999999999997,,,,35.0,,6.7000000000000002,,
12575934,EHB,1963,9,9,2,45,44.299999999999997,,152.81200000000001,-4.4400000000000004,,,,15.0,,6.2800000000000002,,
12575939,EHB,1963,9,14,7,17,19.600000000000001,,145.12,18.934999999999999,,,,611.20000000000005,,6.2800000000000002,,
12575956,EHB,1963,9,27,11,4,18.600000000000001,,125.88500000000001,11.243,,,,15.0,,5.5199999999999996,,
12575959,EHB,1963,9,29,19,35,0.40000000000000002,,125.3,5.9859999999999998,,,,87.200000000000003,,5.5199999999999996,,
12575962,EHB,1963,10,2,3,31,24.399999999999999,,152.02500000000001,-5.4720000000000004,,,,35.0,,5.8799999999999999,,
12575993,EHB,1963,10,15,21,45,0.10000000000000001,,129.95500000000001,-3.073,,,,25.0,,5.8200000000000003,,
12576011,EHB,1963,10,24,7,26,25.100000000000001,,102.753,-5.0039999999999996,,,,48.799999999999997,,6.3499999999999996,,
12576245,EHB,1963,10,25,19,59,0.80000000000000004,,144.56,12.385,,,,35.0,,5.8200000000000003,,
12576015,EHB,1963,10,26,22,41,29.800000000000001,,152.16300000000001,-5.2309999999999999,,,,60.0,,5.8200000000000003,,
12576030,EHB,1963,11,4,1,17,3.0,,129.53899999999999,-6.8010000000000002,,,,15.0,,6.4800000000000004,,
12576031,EHB,1963,11,6,2,13,17.600000000000001,,138.26900000000001,-2.7370000000000001,,,,25.0,,6.7000000000000002,,
12576033,EHB,1963,11,7,12,55,25.0,,146.38200000000001,13.942,,,,35.0,,5.8200000000000003,,
12576034,EHB,1963,11,8,16,13,38.299999999999997,,128.40600000000001,2.6589999999999998,,,,220.0,,6.0800000000000001,,
12576050,EHB,1963,11,19,18,17,4.2000000000000002,,102.149,-5.0579999999999998,,,,35.0,,5.6600000000000001,,
12576053,EHB,1963,11,22,0,18,34.399999999999999,,108.017,-5.8849999999999998,,,,290.0,,5.25,,
12576062,EHB,1963,11,30,9,48,0.90000000000000002,,128.25299999999999,1.5109999999999999,,,,64.799999999999997,,5.7999999999999998,,
12576073,EHB,1963,12,10,3,31,22.600000000000001,,127.997,-6.2699999999999996,,,,364.0,,6.1500000000000004,,
